                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47846,                0.91146,                      1,                0.42073,             0.00023526,             0.00023526,             0.00023526
                      2,                0.21179,                0.94792,                      1,                0.37067,             0.00042641,             0.00042641,             0.00042641
                      3,                0.14889,                0.95833,                      1,                0.36394,             0.00057043,             0.00057043,             0.00057043
                      4,                0.13494,                0.97396,                      1,                0.34799,             0.00050194,             0.00050194,             0.00050194
                      5,                0.09247,                0.98438,                      1,                 0.3439,             0.00043126,             0.00043126,             0.00043126
                      6,                0.12365,                0.98438,                      1,                0.33411,             0.00036057,             0.00036057,             0.00036057
                      7,                0.08837,                0.98438,                      1,                 0.3313,             0.00028988,             0.00028988,             0.00028988
                      8,                0.05276,                0.98958,                      1,                0.32849,              0.0002192,              0.0002192,              0.0002192
                      9,                0.07706,                0.98958,                      1,                0.32919,             0.00014851,             0.00014851,             0.00014851
                     10,                0.04553,                0.98958,                      1,                0.33299,             7.7826e-05,             7.7826e-05,             7.7826e-05
