                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2665,                 4.2033,                 1.6443,                0.00167,                0.15572,                0.08962,                0.04359,                 1.8099,                 4.4544,                 1.4514,             0.00020006,             0.00020006,             0.00020006
                      2,                 1.4941,                 3.0737,                 1.1813,                0.00407,                0.42448,                0.18788,                0.08894,                 1.6283,                 3.9364,                 1.2062,               0.000398,               0.000398,               0.000398
                      3,                 1.4797,                 2.4898,                 1.1318,                0.00478,                0.46382,                0.19867,                0.09089,                 1.7502,                 3.8996,                 1.2352,             0.00057896,             0.00057896,             0.00057896
                      4,                 1.3851,                 2.1208,                 1.1158,                0.79632,                0.03471,                0.21527,                0.13144,                 1.5867,                  3.684,                 1.2157,             0.00074295,             0.00074295,             0.00074295
                      5,                 1.3481,                 1.8896,                 1.1041,                 0.7169,                0.16414,                0.31425,                0.17875,                 1.4453,                 3.2769,                  1.121,             0.00088996,             0.00088996,             0.00088996
                      6,                 1.3575,                  1.766,                 1.1172,                0.63583,                0.39841,                0.40912,                 0.2344,                 1.5616,                 2.8189,                  1.163,                0.00102,                0.00102,                0.00102
                      7,                 1.3573,                 1.6568,                 1.1131,                0.75559,                0.45696,                0.58791,                0.31289,                 1.5428,                 2.3959,                 1.1568,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.2994,                 1.6078,                 1.1118,                0.66342,                0.64382,                0.68503,                0.40498,                 1.3987,                  1.987,                 1.1152,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.2383,                 1.4055,                 1.0758,                0.76596,                0.62196,                0.68338,                0.41968,                 1.3672,                 2.0303,                 1.1147,             0.00097629,             0.00097629,             0.00097629
                     10,                  1.208,                 1.3751,                 1.0639,                0.64712,                 0.5655,                0.58457,                0.35709,                  1.357,                 2.1506,                 1.1055,              0.0009197,              0.0009197,              0.0009197
                     11,                 1.1843,                 1.2916,                 1.0404,                0.70617,                0.69112,                0.74445,                0.47067,                 1.3509,                 1.6544,                 1.0796,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.1621,                 1.2882,                 1.0537,                0.68061,                0.83139,                0.75833,                0.49141,                 1.2808,                 1.5712,                 1.0882,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.1614,                 1.2014,                 1.0494,                0.69184,                0.76479,                0.74214,                0.49641,                 1.2684,                 1.5143,                 1.0559,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.1583,                 1.2261,                 1.0393,                0.82289,                0.75511,                 0.8164,                0.54742,                 1.2027,                 1.4066,                 1.0214,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.1348,                 1.1765,                 1.0132,                0.73676,                0.79615,                0.80145,                0.54549,                   1.18,                  1.404,                 1.0145,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.1185,                 1.3861,                 1.0309,                0.83699,                0.76862,                 0.8236,                0.55297,                 1.1834,                   1.41,                 1.0266,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.0646,                 1.2697,                 1.0237,                0.80105,                0.80058,                0.80094,                0.53089,                 1.2001,                 1.3619,                 1.0429,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.0459,                 1.2061,                 1.0313,                0.77044,                0.85927,                0.83346,                0.57325,                 1.1181,                 1.2808,                 1.0022,               0.000467,               0.000467,               0.000467
                     19,                 1.0314,                 1.2221,                 1.0239,                  0.808,                0.81134,                0.80553,                0.55304,                 1.1499,                  1.272,                 1.0207,             0.00041041,             0.00041041,             0.00041041
                     20,                 1.0098,                 1.1473,                 1.0022,                0.83108,                 0.8223,                0.82423,                0.56185,                 1.2086,                 1.2675,                 1.0125,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.0173,                 1.1267,                 1.0073,                0.84489,                0.78973,                0.82319,                0.55122,                 1.2114,                  1.288,                 1.0062,             0.00029723,             0.00029723,             0.00029723
                     22,                0.99055,                 1.1251,                  1.014,                0.85595,                0.83737,                0.84005,                0.57323,                 1.1749,                 1.2029,                 1.0164,             0.00024064,             0.00024064,             0.00024064
                     23,                0.98079,                 1.0842,                0.97859,                0.87126,                0.84732,                0.85564,                0.58749,                 1.1515,                 1.1407,                0.99293,             0.00018406,             0.00018406,             0.00018406
                     24,                0.95667,                 1.0628,                0.96043,                0.87858,                0.84649,                0.84674,                0.59499,                 1.1134,                 1.1218,                  0.981,             0.00012747,             0.00012747,             0.00012747
                     25,                0.94234,                 1.0291,                0.97947,                  0.874,                0.85029,                0.84846,                0.60142,                 1.0972,                 1.1094,                0.98315,             7.0878e-05,             7.0878e-05,             7.0878e-05
